all-shaking	1
blist'red	1
differences	7
shire	1
-is	1
lightens]	1
marriage-hour	1
school	23
abraham's	1
referred	1
melun	11
say-	11
fettering	1
tout	3
sable	3
rock	38
switches	1
capulet's	12
estridge	1
invest	8
conditions	29
knowing	46
christendoms	1
lincoln	6
through't	1
scape-	1
mutes	2
false	289
confessions	2
soldier	252
'these	1
darling	5
standing	32
autumn's	2
amaimon	1
spirit-stirring	1
distilment	1
maskers	9
sulpherous	1
embroidery	1
woman-queller	1
forehand	3
bed-swerver	1
horner`	1
[falls	5
disdaineth	2
corpulent	1
weight	43
over-much	1
o'erweens	1
helen-i	1
alarum	72
manet	1
geese	11
kentish	3
membership	221
full-replete	1
bold-fac'd	1
murderer-how	1
redress	26
pricks	11
ebb'd	2
black-	1
warkworth	4
welcomer	1
defiance	12
popularity	2
wishful	1
scripture	4
june	2
[lays	5
by-	1
verg	18
signiors	3
intervallums	1
know'st	72
cockled	1
brat's	1
flout	21
dismal'st	2
conscionable	1
o'ercome	2
cleanliest	1
you-often	1
venial	1
law-	3
turbans	1
dividant-	1
oath-breaking	1
encore	1
subjection	5
alley	2
somerset's	3
signifies	4
bald	18
aims	3
unwholesome	7
question	149
diffus'd	2
advancement	9
gad	2
pall	2
monarch	17
chaseth	1
contract-	1
simular	2
ribb'd	1
fore-end	1
follies	13
fashionable	2
art	913
duty	150
ford	272
verges	5
'greensleeves	1
chez	1
choking	2
run-	1
skinny	1
recommend	1
harness'd	2
bett'red	1
sleep-	2
fourth	50
span	4
satisfy	27
cornish	2
usurers'	2
smother	7
protestations	2
among's	1
parent	3
threat'ner	1
dealings	3
consult	4
archers	3
tolling	3
creature	66
posterior	2
devotion's	1
riseth]	1
ha't	10
fadge	2
bastardizing	1
enamelled	1
mark-	1
lodg'd	10
by't	8
threescore	6
heaving	2
choicest	1
hooking	1
indu'd	1
youth's	6
drumming	1
subsequent	1
swelling	16
wanders	1
clogging	1
open'd	10
beseechers	1
community	1
couterfeit	1
chances	13
nestor-like	1
qu'ils	1
act_4|sc_13	1
emballing	1
dismantle	2
'take	2
agitation	2
spero	1
vell	2
school-maids	1
pedantical-	1
complotted	1
tricks	31
anchors	5
insanie	1
rhodes	6
che	1
deceitful	7
painting	21
construction	9
agnize	1
staffordshire	1
waggoner	1
shop	13
fits	41
soldest	1
grubs	1
dishonoured	12
full-charg'd	1
unburdens	1
aemelia	1
residue	1
malkin	1
house]	1
method	7
shoe-tie	1
mose	1
officer	101
impatiently	3
putrefy	1
goliath	1
puppy-dog	1
post	63
scream	1
opposer	2
ruminat-	1
coherence	1
[bertram	1
three-nook'd	1
needer	1
peach	1
unelected	1
obey'd	8
practisers	1
penn'd	5
skipp'd	1
hues	1
bases	2
apish	5
bridge-	1
salt-butter	1
nursed	1
spiritual	6
exit]	1
__	1
pistol-proof	1
furzes	1
countermands	1
pronouns	1
tertian	1
'obsque	1
strong-fram'd	1
curtal	3
goose-pen	1
cancel	5
directors	1
test	4
terms-	1
circummur'd	1
willow-"	1
liberality	3
canterbury's	1
factious	10
stairs	10
vein	15
abrupt	1
mardian	18
daventry	1
tassel	1
vassal	18
sumpter	1
whispers]	1
reform	3
revengeful	8
disparagements	1
edmundsbury	3
exposture	1
pointing	3
angers	4
